DoctorID,DoctorName,Specialization,DoctorContact
1,Shell,Infectious disease,shell.1@healthclinic.nl
2,Regina,Oncologist,regina.2@healthclinic.nl
3,Sissy,Otolaryngologists,sissy.3@healthclinic.nl
4,Celestyna,Cardiology,celestyna.4@healthclinic.nl
5,Thalia,Emergency Medicine,thalia.5@healthclinic.nl
6,Brynna,Surgery,brynna.6@healthclinic.nl
7,Maye,Pulmonologists,maye.7@healthclinic.nl
8,Concettina,Hospice and Palliative Care,concettina.8@healthclinic.nl
9,Minda,Anesthesiology,minda.9@healthclinic.nl
10,Charissa,Nephrology,charissa.10@healthclinic.nl
11,Lanae,Neurology,lanae.11@healthclinic.nl
12,Ida,Oncologist,ida.12@healthclinic.nl
13,Constance,Otolaryngologists,constance.13@healthclinic.nl
14,Karena,Otolaryngologists,karena.14@healthclinic.nl
15,Tabbatha,Anesthesiology,tabbatha.15@healthclinic.nl
16,Lanna,Radiology,lanna.16@healthclinic.nl
17,Lucille,Dermatology,lucille.17@healthclinic.nl
18,Calla,Dermatology,calla.18@healthclinic.nl
19,Jacenta,Radiology,jacenta.19@healthclinic.nl
20,Shaine,Anesthesiology,shaine.20@healthclinic.nl
21,Edee,Geriatrician,edee.21@healthclinic.nl
22,Misha,Endocrinologist,misha.22@healthclinic.nl
23,Hope,Emergency Medicine,hope.23@healthclinic.nl
24,Lilith,Allergists,lilith.24@healthclinic.nl
25,Corina,Pulmonologists,corina.25@healthclinic.nl
26,Ernesta,Psychiatry,ernesta.26@healthclinic.nl
27,Asia,Internists,asia.27@healthclinic.nl
28,Sonni,Surgery,sonni.28@healthclinic.nl
29,Morganica,Pediatrics,morganica.29@healthclinic.nl
30,Nariko,Internists,nariko.30@healthclinic.nl
31,Sherrie,Infectious disease,sherrie.31@healthclinic.nl
32,Brandise,Internists,brandise.32@healthclinic.nl
33,Georgina,Geriatrician,georgina.33@healthclinic.nl
34,Beatriz,Allergists,beatriz.34@healthclinic.nl
35,Jere,Neurology,jere.35@healthclinic.nl
36,Iseabal,Gastroenterology,iseabal.36@healthclinic.nl
37,Paola,Infectious disease,paola.37@healthclinic.nl
38,Gretal,Emergency Medicine,gretal.38@healthclinic.nl
39,Luci,Emergency Medicine,luci.39@healthclinic.nl
40,Gloria,Geriatrician,gloria.40@healthclinic.nl
41,Nelle,Endocrinologist,nelle.41@healthclinic.nl
42,Asia,Otolaryngologists,asia.42@healthclinic.nl
43,Catrina,Obstetric Anesthesiologists,catrina.43@healthclinic.nl
44,Misha,Anesthesiology,misha.44@healthclinic.nl
45,Lorne,Neurology,lorne.45@healthclinic.nl
46,Hermione,Pulmonologists,hermione.46@healthclinic.nl
47,Moyna,Surgery,moyna.47@healthclinic.nl
48,Estell,Otolaryngologists,estell.48@healthclinic.nl
49,Nikki,Oncologist,nikki.49@healthclinic.nl
50,Karly,Emergency Medicine,karly.50@healthclinic.nl
51,Jinny,Infectious disease,jinny.51@healthclinic.nl
52,Karena,Internists,karena.52@healthclinic.nl
53,Shauna,Psychiatry,shauna.53@healthclinic.nl
54,Monika,Psychiatry,monika.54@healthclinic.nl
55,Berta,Cardiology,berta.55@healthclinic.nl
56,Cristabel,Cardiology,cristabel.56@healthclinic.nl
57,Hollie,Anesthesiology,hollie.57@healthclinic.nl
58,Flo,Geriatrician,flo.58@healthclinic.nl
59,Annabela,Oncologist,annabela.59@healthclinic.nl
60,Verla,Otolaryngologists,verla.60@healthclinic.nl
61,Marjie,Endocrinologist,marjie.61@healthclinic.nl
62,Tamqrah,Radiology,tamqrah.62@healthclinic.nl
63,Chrystel,Otolaryngologists,chrystel.63@healthclinic.nl
64,Delilah,Ophthalmology,delilah.64@healthclinic.nl
65,Leeanne,Pulmonologists,leeanne.65@healthclinic.nl
66,Elka,Hospice and Palliative Care,elka.66@healthclinic.nl
67,Chere,Nephrology,chere.67@healthclinic.nl
68,Jere,Neurology,jere.68@healthclinic.nl
69,Karlee,Critical Care Medicine,karlee.69@healthclinic.nl
70,Carree,Allergists,carree.70@healthclinic.nl
71,Lorie,Critical Care Medicine,lorie.71@healthclinic.nl
72,Shell,Gastroenterology,shell.72@healthclinic.nl
73,Phedra,Surgery,phedra.73@healthclinic.nl
74,Brynna,Cardiology,brynna.74@healthclinic.nl
75,Alejandra,Endocrinologist,alejandra.75@healthclinic.nl
76,Dione,Psychiatry,dione.76@healthclinic.nl
77,Brana,Dermatology,brana.77@healthclinic.nl
78,Krystle,Pediatrics,krystle.78@healthclinic.nl
79,Helsa,Emergency Medicine,helsa.79@healthclinic.nl
80,Atlanta,Infectious disease,atlanta.80@healthclinic.nl
81,Johna,Obstetric Anesthesiologists,johna.81@healthclinic.nl
82,Aurore,Gastroenterology,aurore.82@healthclinic.nl
83,Rosene,Obstetric Anesthesiologists,rosene.83@healthclinic.nl
84,Jenilee,Internists,jenilee.84@healthclinic.nl
